Epoch: [45][0/97], lr: 0.01000	Time 10.779 (10.779)	Data 9.873 (9.873)	Loss 2.5853 (2.5853)	Prec@1 92.969 (92.969)	Prec@5 99.219 (99.219)
Epoch: [46][0/97], lr: 0.01000	Time 11.095 (11.095)	Data 10.038 (10.038)	Loss 2.4994 (2.4994)	Prec@1 94.531 (94.531)	Prec@5 99.219 (99.219)
Epoch: [47][0/97], lr: 0.01000	Time 10.865 (10.865)	Data 10.050 (10.050)	Loss 2.5692 (2.5692)	Prec@1 93.750 (93.750)	Prec@5 98.438 (98.438)
Epoch: [48][0/97], lr: 0.01000	Time 10.597 (10.597)	Data 9.798 (9.798)	Loss 2.5579 (2.5579)	Prec@1 95.312 (95.312)	Prec@5 99.219 (99.219)
Epoch: [49][0/97], lr: 0.01000	Time 10.446 (10.446)	Data 9.628 (9.628)	Loss 2.6761 (2.6761)	Prec@1 90.625 (90.625)	Prec@5 97.656 (97.656)
Epoch: [50][0/97], lr: 0.01000	Time 10.609 (10.609)	Data 9.640 (9.640)	Loss 2.6728 (2.6728)	Prec@1 90.625 (90.625)	Prec@5 96.875 (96.875)
Epoch: [51][0/97], lr: 0.01000	Time 10.580 (10.580)	Data 9.803 (9.803)	Loss 2.5321 (2.5321)	Prec@1 92.969 (92.969)	Prec@5 97.656 (97.656)
Epoch: [52][0/97], lr: 0.01000	Time 10.661 (10.661)	Data 9.671 (9.671)	Loss 2.6202 (2.6202)	Prec@1 92.188 (92.188)	Prec@5 96.094 (96.094)
Epoch: [53][0/97], lr: 0.01000	Time 10.593 (10.593)	Data 9.695 (9.695)	Loss 2.6439 (2.6439)	Prec@1 92.188 (92.188)	Prec@5 97.656 (97.656)
Epoch: [54][0/97], lr: 0.01000	Time 10.584 (10.584)	Data 9.713 (9.713)	Loss 2.5699 (2.5699)	Prec@1 95.312 (95.312)	Prec@5 98.438 (98.438)
Epoch: [55][0/97], lr: 0.01000	Time 10.420 (10.420)	Data 9.652 (9.652)	Loss 2.5006 (2.5006)	Prec@1 94.531 (94.531)	Prec@5 97.656 (97.656)
Epoch: [56][0/97], lr: 0.01000	Time 10.601 (10.601)	Data 9.846 (9.846)	Loss 2.6197 (2.6197)	Prec@1 90.625 (90.625)	Prec@5 97.656 (97.656)
Epoch: [57][0/97], lr: 0.01000	Time 13.820 (13.820)	Data 12.936 (12.936)	Loss 2.4268 (2.4268)	Prec@1 95.312 (95.312)	Prec@5 100.000 (100.000)
Epoch: [58][0/97], lr: 0.01000	Time 10.483 (10.483)	Data 9.699 (9.699)	Loss 2.5199 (2.5199)	Prec@1 94.531 (94.531)	Prec@5 98.438 (98.438)
Epoch: [59][0/97], lr: 0.01000	Time 10.375 (10.375)	Data 9.492 (9.492)	Loss 2.5592 (2.5592)	Prec@1 94.531 (94.531)	Prec@5 99.219 (99.219)
Epoch: [60][0/97], lr: 0.01000	Time 10.702 (10.702)	Data 9.911 (9.911)	Loss 2.5792 (2.5792)	Prec@1 92.969 (92.969)	Prec@5 98.438 (98.438)
Epoch: [61][0/97], lr: 0.01000	Time 10.220 (10.220)	Data 9.463 (9.463)	Loss 2.6641 (2.6641)	Prec@1 91.406 (91.406)	Prec@5 95.312 (95.312)
Epoch: [62][0/97], lr: 0.01000	Time 10.576 (10.576)	Data 9.789 (9.789)	Loss 2.5145 (2.5145)	Prec@1 92.188 (92.188)	Prec@5 99.219 (99.219)
Epoch: [63][0/97], lr: 0.01000	Time 10.500 (10.500)	Data 9.628 (9.628)	Loss 2.6094 (2.6094)	Prec@1 90.625 (90.625)	Prec@5 97.656 (97.656)
Epoch: [64][0/97], lr: 0.01000	Time 10.567 (10.567)	Data 9.776 (9.776)	Loss 2.5356 (2.5356)	Prec@1 96.094 (96.094)	Prec@5 100.000 (100.000)
Epoch: [65][0/97], lr: 0.01000	Time 10.422 (10.422)	Data 9.662 (9.662)	Loss 2.5237 (2.5237)	Prec@1 94.531 (94.531)	Prec@5 98.438 (98.438)
Epoch: [66][0/97], lr: 0.01000	Time 10.609 (10.609)	Data 9.721 (9.721)	Loss 2.5258 (2.5258)	Prec@1 95.312 (95.312)	Prec@5 98.438 (98.438)
